	Neighborhood	Neighborhood Latitude	Neighborhood Longitude	Venue	Venue Latitude	Venue Longitude	Venue Category
87	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	BananaStudio	55.71704317496349	37.68342733383179	Photography Studio
88	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	KFC	55.71737502272431	37.67732649215997	Fried Chicken Joint
89	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Ханой Фо	55.716696985273785	37.6805261943626	Vietnamese Restaurant
90	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Лестница В Европу	55.71788293641556	37.67695656793519	Clothing Store
91	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Хлебокомбинат «Пролетарец»	55.719109943218534	37.670252323150635	Bakery
92	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Теннисные Корты на Автозаводской	55.715153899391986	37.67216634849759	Tennis Stadium
93	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Fortis Hotel	55.71977754390267	37.67547375778065	Hotel
94	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Юлмарт Outpost	55.71873587462696	37.67636124561411	Electronics Store
95	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Магазин «Свежий хлеб»	55.71950878064364	37.67083168029785	Bakery
96	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Центр Электроники	55.71778326447684	37.67799749678295	Electronics Store
97	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Огни Востока	55.72024097952649	37.677271261340195	Middle Eastern Restaurant
98	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	McDonald's	55.71870505863624	37.67659306526184	Fast Food Restaurant
99	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Дубровская Слобода	55.71612194777883	37.682624551646406	Gastropub
100	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Зебра	55.714634871796065	37.6726129329165	Gym / Fitness Center
101	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Самовар Кафе	55.71719665283735	37.68203494183543	Middle Eastern Restaurant
102	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	"Кафе-бар ""Борчелы"""	55.71679644273224	37.6809750634233	Café
103	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Турецкая кухня	55.72023228952122	37.67754635177018	Turkish Restaurant
104	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Maxi Food	55.71747645805429	37.67844422476763	Café
105	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Mbar Офис	55.71761945553727	37.67794607593952	Mobile Phone Shop
106	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Паоло Пицца Дубровка	55.71846937761833	37.67677545547485	Pizza Place
107	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Вьетнам	55.717208873715556	37.68134252490986	Vietnamese Restaurant
108	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Дживани Пицца	55.713537	37.676729	Pizza Place
109	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Plov.com	55.71363179271005	37.67818216424281	Middle Eastern Restaurant
110	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	"Бассейн ""Зебра"""	55.71412197251279	37.67262052365682	Pool
111	Yuzhnoportovy District_OPS_88	55.716392000000006	37.676188	Остановка «Южнопортовая улица»	55.71312598086846	37.68116427935767	Bus Stop
112	Lefortovo District_OPS_94	55.774970999999994	37.705207	Bodrum Lounge Club	55.77473426701734	37.7022791684483	Turkish Restaurant
113	Lefortovo District_OPS_94	55.774970999999994	37.705207	Красное&Белое	55.775346012351726	37.70939246114916	Liquor Store
114	Lefortovo District_OPS_94	55.774970999999994	37.705207	"Магазин ""Халяль"""	55.77222551818825	37.705715070115296	Department Store
115	Lefortovo District_OPS_94	55.774970999999994	37.705207	Металлург	55.77383456644675	37.700846554950566	Sauna / Steam Room
116	Lefortovo District_OPS_94	55.774970999999994	37.705207	Подружка	55.77318272886138	37.7104142668326	Cosmetics Shop
117	Lefortovo District_OPS_94	55.774970999999994	37.705207	Cafe Rotana	55.77620230736881	37.69995310543987	Eastern European Restaurant
118	Lefortovo District_OPS_94	55.774970999999994	37.705207	Сквер на набережной	55.77696231024378	37.70596698972933	Park
119	Lefortovo District_OPS_94	55.774970999999994	37.705207	OLDI	55.778617323181216	37.70419102749058	Electronics Store
120	Lefortovo District_OPS_94	55.774970999999994	37.705207	Arti-Pub	55.773634287475744	37.71184802055359	Pub
121	Lefortovo District_OPS_94	55.774970999999994	37.705207	Стадион «Металлург»	55.775234587180925	37.704467149524376	Stadium
122	Lefortovo District_OPS_94	55.774970999999994	37.705207	Ригла	55.77550159534739	37.7088488507873	Pharmacy
123	Lefortovo District_OPS_94	55.774970999999994	37.705207	Вольтмастер	55.77925575211254	37.704564237182254	Electronics Store
124	Lefortovo District_OPS_94	55.774970999999994	37.705207	Апельсин	55.77218735474812	37.705997916441206	Grocery Store
125	Lefortovo District_OPS_94	55.774970999999994	37.705207	Аптека DD	55.77254777309599	37.71081621263473	Pharmacy
126	Lefortovo District_OPS_94	55.774970999999994	37.705207	Чайная лавка при фабрике (Никитин)	55.77352227762602	37.71253045472452	Tea Room
127	Lefortovo District_OPS_116	55.757716	37.713793	Domino's Pizza	55.75782996786136	37.712326713660566	Pizza Place
128	Lefortovo District_OPS_116	55.757716	37.713793	Кафе Восточное	55.75526514827377	37.711734959963344	Café
129	Lefortovo District_OPS_116	55.757716	37.713793	Додо Пицца	55.758906	37.708811	Restaurant
130	Lefortovo District_OPS_116	55.757716	37.713793	Перекресток	55.760835	37.717925	Supermarket
131	Lefortovo District_OPS_116	55.757716	37.713793	WeGym	55.76099493643628	37.71742462789619	Gym / Fitness Center
132	Lefortovo District_OPS_116	55.757716	37.713793	Virtuality Club	55.754683233012926	37.71886457081726	Arcade
133	Lefortovo District_OPS_116	55.757716	37.713793	Шарманка	55.756560415314645	37.715991726544054	Café
134	Lefortovo District_OPS_116	55.757716	37.713793	Диалог	55.75857176273714	37.716216881562296	Pharmacy
135	Lefortovo District_OPS_116	55.757716	37.713793	X-Fit	55.754160517736	37.71543900602148	Gym / Fitness Center
136	Lefortovo District_OPS_116	55.757716	37.713793	Полярная звезда	55.76141704191963	37.71237827849151	Grocery Store
137	Lefortovo District_OPS_116	55.757716	37.713793	Трактир	55.756323845899736	37.71525938480197	German Restaurant
138	Lefortovo District_OPS_116	55.757716	37.713793	Якитория	55.75357930036507	37.715928250176745	Sushi Restaurant
139	Lefortovo District_OPS_116	55.757716	37.713793	ZOO Пассаж	55.753943060292	37.710071212846586	Pet Store
140	Lefortovo District_OPS_116	55.757716	37.713793	Кукуй	55.75913255236713	37.70861758752027	Café
141	Lefortovo District_OPS_116	55.757716	37.713793	Jeffrey's Coffee	55.75385034094045	37.71001874220198	Coffee Shop
142	Lefortovo District_OPS_116	55.757716	37.713793	CHOCO COFFEE	55.758440564506735	37.7110447033549	Coffee Shop
143	Lefortovo District_OPS_116	55.757716	37.713793	ДК МЭИ	55.75739321111733	37.70828752515278	Performing Arts Venue
144	Lefortovo District_OPS_116	55.757716	37.713793	Pizza Hut	55.75334930323122	37.712705593513554	Pizza Place
145	Lefortovo District_OPS_116	55.757716	37.713793	Подружка	55.757616	37.712788	Cosmetics Shop
146	Lefortovo District_OPS_116	55.757716	37.713793	Спортзал Энергетическая 18	55.75716131930347	37.71272400573753	Gym
147	Lefortovo District_OPS_116	55.757716	37.713793	футбольное поле	55.758866681990824	37.71275041708687	Soccer Field
148	Lefortovo District_OPS_116	55.757716	37.713793	"Кафе ""Легора"""	55.758096710292754	37.71577468710323	Eastern European Restaurant
149	Lefortovo District_OPS_116	55.757716	37.713793	Двор Три Башни	55.75958389595509	37.7140935819918	Pedestrian Plaza
150	Lefortovo District_OPS_116	55.757716	37.713793	Столовая 10	55.756229054380576	37.7115977002542	Cafeteria
151	Lefortovo District_OPS_116	55.757716	37.713793	Маршрутка № 636м	55.75512646116634	37.71595815850952	Bus Line
152	Lefortovo District_OPS_116	55.757716	37.713793	Кирпич МЭИ	55.75651405086628	37.7079351435717	Bar
153	Lefortovo District_OPS_116	55.757716	37.713793	вкусвилл	55.754395	37.715422	Health Food Store
154	Lefortovo District_OPS_116	55.757716	37.713793	Симба	55.76112419919346	37.71689465676044	Grocery Store
155	Lefortovo District_OPS_116	55.757716	37.713793	Л'Этуаль	55.75363516655609	37.71601940860943	Cosmetics Shop
156	Lefortovo District_OPS_116	55.757716	37.713793	венские сказки	55.75340925952195	37.71206820608374	Dessert Shop
157	Lefortovo District_OPS_116	55.757716	37.713793	Зоомагазин	55.7596491923626	37.706590159884676	Pet Store
158	Kuzminki District_OPS_117	55.711558	37.755294	Торшер	55.713566260797194	37.75076952484023	Café
159	Kuzminki District_OPS_117	55.711558	37.755294	Аллея вдоль Окской	55.71287879383707	37.75625134072938	Pedestrian Plaza
160	Kuzminki District_OPS_117	55.711558	37.755294	"Парк ""Аллея славы"""	55.71425075023873	37.75263722202512	Park
161	Kuzminki District_OPS_117	55.711558	37.755294	Каток зимой, коробка летом!	55.71492678796608	37.751360584091145	Skating Rink
162	Kuzminki District_OPS_117	55.711558	37.755294	ВайТай Кузьминки / WaiThai Kuzminki	55.71556223657488	37.75369960937224	Spa
163	Kuzminki District_OPS_117	55.711558	37.755294	Пивовароff	55.71544135300583	37.753849226049205	Beer Store
164	Kuzminki District_OPS_117	55.711558	37.755294	Выгул собак	55.710975188397164	37.75125503540039	Dog Run
165	Kuzminki District_OPS_117	55.711558	37.755294	ВкусВилл	55.713932	37.750874	Food & Drink Shop
